service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01,1,1,1,1,1,1,1,20260101,20260101
02_01,1,1,1,1,1,1,1,20260102,20260104
03_01,1,1,1,1,1,0,0,20260105,20260212
04_01,0,0,0,0,0,1,1,20260105,20260212
05_01,1,1,1,1,1,0,0,20260213,20260312
02_02,0,0,0,0,0,1,1,20260213,20260312
06_01,1,1,1,1,1,1,1,20260313,20260402
07_01,1,1,1,1,1,1,1,20260403,20260430
08_01,1,1,1,1,1,1,1,20260501,20260521
09_01,1,1,1,1,1,1,1,20260522,20260618
10,1,1,1,1,1,1,1,20260619,20260830
09_02,1,1,1,1,1,1,1,20260831,20260913
08_02,1,1,1,1,1,1,1,20260914,20260927
07_02,1,1,1,1,1,1,1,20260928,20261011
06_02,1,1,1,1,1,1,1,20261012,20261101
05_02,1,1,1,1,1,0,0,20261102,20261122
02_03,0,0,0,0,0,1,1,20261102,20261122
03_02,1,1,1,1,1,0,0,20261123,20261220
04_02,0,0,0,0,0,1,1,20261123,20261220
02_04,1,1,1,1,1,1,1,20261221,20261223
11_01,1,1,1,1,1,1,1,20261224,20261224
02_05,1,1,1,1,1,1,1,20261225,20261230
11_02,1,1,1,1,1,1,1,20261231,20261231
