trip_id,start_time,end_time,headway_secs,exact_times
01_tihany,10:00:00,18:30:00,1800,0
01_szantod,10:15:00,18:45:00,1800,0
02_01_tihany,07:00:00,18:30:00,1800,0
02_01_szantod,07:15:00,18:45:00,1800,0
03_01_tihany,07:00:00,18:00:00,3600,0
03_01_szantod,07:15:00,18:15:00,3600,0
04_01_tihany,07:00:00,17:30:00,1800,0
04_01_szantod,07:15:00,17:45:00,1800,0
05_01_tihany,07:00:00,19:00:00,3600,0
05_01_szantod,07:15:00,19:15:00,3600,0
02_02_tihany,07:00:00,18:30:00,1800,0
02_02_szantod,07:15:00,18:45:00,1800,0
06_01_tihany,07:00:00,19:30:00,1800,0
06_01_szantod,07:15:00,19:45:00,1800,0
07_01_tihany,07:00:00,20:30:00,1800,0
07_01_szantod,07:15:00,20:45:00,1800,0
08_01_tihany,07:00:00,21:30:00,1800,0
08_01_szantod,07:15:00,21:45:00,1800,0
09_01_tihany,07:00:00,22:30:00,1800,0
09_01_szantod,07:15:00,22:45:00,1800,0
10_tihany,07:00:00,24:00:00,1800,0
10_szantod,07:15:00,24:15:00,1800,0
09_02_tihany,07:00:00,22:30:00,1800,0
09_02_szantod,07:15:00,22:45:00,1800,0
08_02_tihany,07:00:00,21:30:00,1800,0
08_02_szantod,07:15:00,21:45:00,1800,0
07_02_tihany,07:00:00,20:30:00,1800,0
07_02_szantod,07:15:00,20:45:00,1800,0
06_02_tihany,07:00:00,19:30:00,1800,0
06_02_szantod,07:15:00,19:45:00,1800,0
05_02_tihany,07:00:00,19:00:00,3600,0
05_02_szantod,07:15:00,19:15:00,3600,0
02_03_tihany,07:00:00,18:30:00,1800,0
02_03_szantod,07:15:00,18:45:00,1800,0
03_02_tihany,07:00:00,18:00:00,3600,0
03_02_szantod,07:15:00,18:15:00,3600,0
04_02_tihany,07:00:00,17:30:00,1800,0
04_02_szantod,07:15:00,17:45:00,1800,0
02_04_tihany,07:00:00,18:30:00,1800,0
02_04_szantod,07:15:00,18:45:00,1800,0
11_01_tihany,07:00:00,15:30:00,1800,0
11_01_szantod,07:15:00,15:45:00,1800,0
02_05_tihany,07:00:00,18:30:00,1800,0
02_05_szantod,07:15:00,18:45:00,1800,0
11_02_tihany,07:00:00,15:30:00,1800,0
11_02_szantod,07:15:00,15:45:00,1800,0
