shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
tihany,46.8796311,17.9001388,1
tihany,46.879865,17.8995386,2
tihany,46.880017,17.8991684,3
tihany,46.8802183,17.8987693,4
tihany,46.8805146,17.8983328,5
tihany,46.8808035,17.8979756,6
tihany,46.8811186,17.8976279,7
tihany,46.8818709,17.8968605,8
tihany,46.8832885,17.8954881,9
tihany,46.8850161,17.8941015,10
tihany,46.8865083,17.8929331,11
tihany,46.8871814,17.8924418,12
tihany,46.8874409,17.8922639,13
tihany,46.8876738,17.8921228,14
tihany,46.8878699,17.8920229,15
tihany,46.8879796,17.8919725,16
tihany,46.8880801,17.8919343,17
tihany,46.8886459,17.8917597,18
szantod,46.8886459,17.8917597,1
szantod,46.8880801,17.8919343,2
szantod,46.8879796,17.8919725,3
szantod,46.8878699,17.8920229,4
szantod,46.8876738,17.8921228,5
szantod,46.8874409,17.8922639,6
szantod,46.8871814,17.8924418,7
szantod,46.8865083,17.8929331,8
szantod,46.8850161,17.8941015,9
szantod,46.8832885,17.8954881,10
szantod,46.8818709,17.8968605,11
szantod,46.8811186,17.8976279,12
szantod,46.8808035,17.8979756,13
szantod,46.8805146,17.8983328,14
szantod,46.8802183,17.8987693,15
szantod,46.880017,17.8991684,16
szantod,46.879865,17.8995386,17
szantod,46.8796311,17.9001388,18
