trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
02_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
02_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
02_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
02_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
03_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
03_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
03_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
03_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
04_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
04_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
04_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
04_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
05_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
05_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
05_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
05_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
02_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
02_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
02_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
02_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
06_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
06_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
06_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
06_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
07_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
07_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
07_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
07_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
08_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
08_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
08_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
08_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
09_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
09_01_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
09_01_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
09_01_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
10_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
10_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
10_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
10_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
09_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
09_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
09_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
09_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
08_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
08_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
08_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
08_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
07_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
07_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
07_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
07_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
06_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
06_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
06_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
06_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
05_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
05_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
05_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
05_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
02_03_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
02_03_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
02_03_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
02_03_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
03_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
03_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
03_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
03_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
04_02_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
04_02_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
04_02_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
04_02_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
02_04_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
02_04_tihany,tihany,2,00:08:00,00:08:00,,0,0,1,1,0
02_04_szantod,tihany,1,00:00:00,00:00:00,,0,0,1,1,0
02_04_szantod,szantod,2,00:08:00,00:08:00,,0,0,1,1,0
11_01_tihany,szantod,1,00:00:00,00:00:00,,0,0,1,1,0
