trip_id,route_id,shape_id,service_id,trip_headsign,direction_id,trip_short_name,block_id,wheelchair_accessible,bikes_allowed,cars_allowed
01_tihany,ferry,tihany,01,Tihanyrév,0,,,1,1,1
01_szantod,ferry,szantod,01,Szántódrév,1,,,1,1,1
02_01_tihany,ferry,tihany,02_01,Tihanyrév,0,,,1,1,1
02_01_szantod,ferry,szantod,02_01,Szántódrév,1,,,1,1,1
03_01_tihany,ferry,tihany,03_01,Tihanyrév,0,,,1,1,1
03_01_szantod,ferry,szantod,03_01,Szántódrév,1,,,1,1,1
04_01_tihany,ferry,tihany,04_01,Tihanyrév,0,,,1,1,1
04_01_szantod,ferry,szantod,04_01,Szántódrév,1,,,1,1,1
05_01_tihany,ferry,tihany,05_01,Tihanyrév,0,,,1,1,1
05_01_szantod,ferry,szantod,05_01,Szántódrév,1,,,1,1,1
02_02_tihany,ferry,tihany,02_02,Tihanyrév,0,,,1,1,1
02_02_szantod,ferry,szantod,02_02,Szántódrév,1,,,1,1,1
06_01_tihany,ferry,tihany,06_01,Tihanyrév,0,,,1,1,1
06_01_szantod,ferry,szantod,06_01,Szántódrév,1,,,1,1,1
07_01_tihany,ferry,tihany,07_01,Tihanyrév,0,,,1,1,1
07_01_szantod,ferry,szantod,07_01,Szántódrév,1,,,1,1,1
08_01_tihany,ferry,tihany,08_01,Tihanyrév,0,,,1,1,1
08_01_szantod,ferry,szantod,08_01,Szántódrév,1,,,1,1,1
09_01_tihany,ferry,tihany,09_01,Tihanyrév,0,,,1,1,1
09_01_szantod,ferry,szantod,09_01,Szántódrév,1,,,1,1,1
10_tihany,ferry,tihany,10,Tihanyrév,0,,,1,1,1
10_szantod,ferry,szantod,10,Szántódrév,1,,,1,1,1
09_02_tihany,ferry,tihany,09_02,Tihanyrév,0,,,1,1,1
09_02_szantod,ferry,szantod,09_02,Szántódrév,1,,,1,1,1
08_02_tihany,ferry,tihany,08_02,Tihanyrév,0,,,1,1,1
08_02_szantod,ferry,szantod,08_02,Szántódrév,1,,,1,1,1
07_02_tihany,ferry,tihany,07_02,Tihanyrév,0,,,1,1,1
07_02_szantod,ferry,szantod,07_02,Szántódrév,1,,,1,1,1
06_02_tihany,ferry,tihany,06_02,Tihanyrév,0,,,1,1,1
06_02_szantod,ferry,szantod,06_02,Szántódrév,1,,,1,1,1
05_02_tihany,ferry,tihany,05_02,Tihanyrév,0,,,1,1,1
05_02_szantod,ferry,szantod,05_02,Szántódrév,1,,,1,1,1
02_03_tihany,ferry,tihany,02_03,Tihanyrév,0,,,1,1,1
02_03_szantod,ferry,szantod,02_03,Szántódrév,1,,,1,1,1
03_02_tihany,ferry,tihany,03_02,Tihanyrév,0,,,1,1,1
03_02_szantod,ferry,szantod,03_02,Szántódrév,1,,,1,1,1
04_02_tihany,ferry,tihany,04_02,Tihanyrév,0,,,1,1,1
04_02_szantod,ferry,szantod,04_02,Szántódrév,1,,,1,1,1
02_04_tihany,ferry,tihany,02_04,Tihanyrév,0,,,1,1,1
02_04_szantod,ferry,szantod,02_04,Szántódrév,1,,,1,1,1
11_01_tihany,ferry,tihany,11_01,Tihanyrév,0,,,1,1,1
11_01_szantod,ferry,szantod,11_01,Szántódrév,1,,,1,1,1
02_05_tihany,ferry,tihany,02_05,Tihanyrév,0,,,1,1,1
02_05_szantod,ferry,szantod,02_05,Szántódrév,1,,,1,1,1
11_02_tihany,ferry,tihany,11_02,Tihanyrév,0,,,1,1,1
11_02_szantod,ferry,szantod,11_02,Szántódrév,1,,,1,1,1
