service_id,date,exception_type
regular,20260112,2
regular,20260126,2
regular,20260209,2
regular,20260223,2
regular,20260309,2
regular,20260323,2
regular,20260407,2
regular,20260420,2
regular,20260504,2
regular,20260518,2
regular,20260601,2
regular,20260615,2
regular,20260629,2
regular,20260713,2
regular,20260727,2
regular,20260810,2
regular,20260824,2
regular,20260907,2
regular,20260921,2
regular,20261005,2
regular,20261019,2
regular,20261102,2
regular,20261116,2
regular,20261130,2
regular,20261214,2
regular,20261224,2
regular,20261228,2
