service_id,date,exception_type
01_01,20260105,2
01_01,20260119,2
02_01,20260202,2
02_01,20260216,2
03_01,20260302,2
03_01,20260316,2
03_01,20260330,2
04_01,20260413,2
04_01,20260414,2
04_01,20260415,2
04_01,20260416,2
04_01,20260417,2
04_01,20260418,2
04_01,20260419,2
04_01,20260420,2
04_01,20260421,2
04_01,20260422,2
04_01,20260423,2
04_01,20260424,2
05,20260511,2
05,20260526,2
05,20260608,2
05,20260622,2
05,20260706,2
05,20260720,2
05,20260803,2
05,20260817,2
05,20260831,2
04_02,20260914,2
04_02,20260928,2
04_02,20260929,2
04_02,20260930,2
03_02,20261001,2
03_02,20261002,2
03_02,20261003,2
03_02,20261004,2
03_02,20261005,2
03_02,20261006,2
03_02,20261007,2
03_02,20261008,2
03_02,20261009,2
03_02,20261010,2
03_02,20261011,2
03_02,20261012,2
03_02,20261013,2
03_02,20261014,2
03_02,20261015,2
03_02,20261016,2
03_02,20261026,2
01_02,20261109,2
01_02,20261123,2
01_02,20261207,2
01_02,20261221,2
