shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
uphill,47.5166211,18.9744481,1
uphill,47.5166084,18.9742404,2
uphill,47.516575,18.9736941,3
uphill,47.5165142,18.9727002,4
uphill,47.5164716,18.9720032,5
uphill,47.5164319,18.9711922,6
uphill,47.5163744,18.9701348,7
uphill,47.5162979,18.9688523,8
uphill,47.5162224,18.967525,9
uphill,47.5161486,18.9662671,10
uphill,47.5160911,18.965201,11
uphill,47.5160261,18.9640954,12
uphill,47.5159889,18.9634382,13
uphill,47.5159437,18.9626386,14
uphill,47.5158762,18.9614455,15
uphill,47.5158437,18.9608721,16
uphill,47.5158286,18.9606055,17
downhill,47.5166211,18.9744481,17
downhill,47.5166084,18.9742404,16
downhill,47.516575,18.9736941,15
downhill,47.5165142,18.9727002,14
downhill,47.5164716,18.9720032,13
downhill,47.5164319,18.9711922,12
downhill,47.5163744,18.9701348,11
downhill,47.5162979,18.9688523,10
downhill,47.5162224,18.967525,9
downhill,47.5161486,18.9662671,8
downhill,47.5160911,18.965201,7
downhill,47.5160261,18.9640954,6
downhill,47.5159889,18.9634382,5
downhill,47.5159437,18.9626386,4
downhill,47.5158762,18.9614455,3
downhill,47.5158437,18.9608721,2
downhill,47.5158286,18.9606055,1
