shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
horany,47.6578338,19.1191419,1
horany,47.6579119,19.1186655,2
horany,47.6579854,19.118245,3
horany,47.6580752,19.1177796,4
horany,47.6581972,19.1171816,5
horany,47.6583791,19.1163658,6
horany,47.6584961,19.115869,7
horany,47.6586051,19.1154409,8
horany,47.6587105,19.1150816,9
horany,47.6588084,19.1147744,10
horany,47.6588553,19.1146404,11
horany,47.6589012,19.1145206,12
horany,47.6589434,19.1144229,13
horany,47.6589876,19.1143266,14
horany,47.6590357,19.114241,15
horany,47.6590989,19.1141379,16
horany,47.6591705,19.1140401,17
horany,47.6592626,19.113931,18
horany,47.6593704,19.1138106,19
horany,47.6594581,19.1137092,20
horany,47.6595368,19.1135965,21
horany,47.6596537,19.1133992,22
horany,47.6597716,19.1131721,23
horany,47.6599571,19.1127394,24
dunakeszi,47.6599571,19.1127394,1
dunakeszi,47.6597716,19.1131721,2
dunakeszi,47.6596537,19.1133992,3
dunakeszi,47.6595368,19.1135965,4
dunakeszi,47.6594581,19.1137092,5
dunakeszi,47.6593704,19.1138106,6
dunakeszi,47.6592626,19.113931,7
dunakeszi,47.6591705,19.1140401,8
dunakeszi,47.6590989,19.1141379,9
dunakeszi,47.6590357,19.114241,10
dunakeszi,47.6589876,19.1143266,11
dunakeszi,47.6589434,19.1144229,12
dunakeszi,47.6589012,19.1145206,13
dunakeszi,47.6588553,19.1146404,14
dunakeszi,47.6588084,19.1147744,15
dunakeszi,47.6587105,19.1150816,16
dunakeszi,47.6586051,19.1154409,17
dunakeszi,47.6584961,19.115869,18
dunakeszi,47.6583791,19.1163658,19
dunakeszi,47.6581972,19.1171816,20
dunakeszi,47.6580752,19.1177796,21
dunakeszi,47.6579854,19.118245,22
dunakeszi,47.6579119,19.1186655,23
dunakeszi,47.6578338,19.1191419,24
