trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
1,sziget,1,05:30:00,05:30:00,,2,2,1,1,1
1,sztendre,2,05:32:30,05:32:30,,2,2,1,1,1
2,sztendre,1,05:35:00,05:35:00,,2,2,1,1,1
2,sziget,2,05:37:30,05:37:30,,2,2,1,1,1
3,sziget,1,06:00:00,06:00:00,,0,0,1,1,1
3,sztendre,2,06:02:30,06:02:30,,0,0,1,1,1
4,sztendre,1,06:05:00,06:05:00,,0,0,1,1,1
4,sziget,2,06:07:30,06:07:30,,0,0,1,1,1
5,sziget,1,06:30:00,06:30:00,,0,0,1,1,1
5,sztendre,2,06:32:30,06:32:30,,0,0,1,1,1
6,sztendre,1,06:35:00,06:35:00,,0,0,1,1,1
6,sziget,2,06:37:30,06:37:30,,0,0,1,1,1
7,sziget,1,07:00:00,07:00:00,,0,0,1,1,1
7,sztendre,2,07:02:30,07:02:30,,0,0,1,1,1
8,sztendre,1,07:05:00,07:05:00,,0,0,1,1,1
8,sziget,2,07:07:30,07:07:30,,0,0,1,1,1
9,sziget,1,07:10:00,07:10:00,,0,0,1,1,1
9,sztendre,2,07:12:30,07:12:30,,0,0,1,1,1
10,sztendre,1,07:15:00,07:15:00,,0,0,1,1,1
10,sziget,2,07:17:30,07:17:30,,0,0,1,1,1
11,sziget,1,07:20:00,07:20:00,,0,0,1,1,1
11,sztendre,2,07:22:30,07:22:30,,0,0,1,1,1
12,sztendre,1,07:25:00,07:25:00,,0,0,1,1,1
12,sziget,2,07:27:30,07:27:30,,0,0,1,1,1
13,sziget,1,07:30:00,07:30:00,,0,0,1,1,1
13,sztendre,2,07:32:30,07:32:30,,0,0,1,1,1
14,sztendre,1,07:35:00,07:35:00,,0,0,1,1,1
14,sziget,2,07:37:30,07:37:30,,0,0,1,1,1
15,sziget,1,07:40:00,07:40:00,,0,0,1,1,1
15,sztendre,2,07:42:30,07:42:30,,0,0,1,1,1
16,sztendre,1,07:45:00,07:45:00,,0,0,1,1,1
16,sziget,2,07:47:30,07:47:30,,0,0,1,1,1
17,sziget,1,08:30:00,08:30:00,,0,0,1,1,1
17,sztendre,2,08:32:30,08:32:30,,0,0,1,1,1
18,sztendre,1,08:35:00,08:35:00,,0,0,1,1,1
18,sziget,2,08:37:30,08:37:30,,0,0,1,1,1
19,sziget,1,09:30:00,09:30:00,,0,0,1,1,1
19,sztendre,2,09:32:30,09:32:30,,0,0,1,1,1
20,sztendre,1,09:35:00,09:35:00,,0,0,1,1,1
20,sziget,2,09:37:30,09:37:30,,0,0,1,1,1
21,sziget,1,10:30:00,10:30:00,,0,0,1,1,1
21,sztendre,2,10:32:30,10:32:30,,0,0,1,1,1
22,sztendre,1,10:35:00,10:35:00,,0,0,1,1,1
22,sziget,2,10:37:30,10:37:30,,0,0,1,1,1
23,sziget,1,11:30:00,11:30:00,,0,0,1,1,1
23,sztendre,2,11:32:30,11:32:30,,0,0,1,1,1
24,sztendre,1,11:35:00,11:35:00,,0,0,1,1,1
24,sziget,2,11:37:30,11:37:30,,0,0,1,1,1
25,sziget,1,12:30:00,12:30:00,,0,0,1,1,1
25,sztendre,2,12:32:30,12:32:30,,0,0,1,1,1
26,sztendre,1,12:35:00,12:35:00,,0,0,1,1,1
26,sziget,2,12:37:30,12:37:30,,0,0,1,1,1
27,sziget,1,13:30:00,13:30:00,,0,0,1,1,1
27,sztendre,2,13:32:30,13:32:30,,0,0,1,1,1
28,sztendre,1,13:35:00,13:35:00,,0,0,1,1,1
28,sziget,2,13:37:30,13:37:30,,0,0,1,1,1
29,sziget,1,14:10:00,14:10:00,,0,0,1,1,1
29,sztendre,2,14:12:30,14:12:30,,0,0,1,1,1
30,sztendre,1,14:15:00,14:15:00,,0,0,1,1,1
30,sziget,2,14:17:30,14:17:30,,0,0,1,1,1
31,sziget,1,14:30:00,14:30:00,,0,0,1,1,1
31,sztendre,2,14:32:30,14:32:30,,0,0,1,1,1
32,sztendre,1,14:35:00,14:35:00,,0,0,1,1,1
32,sziget,2,14:37:30,14:37:30,,0,0,1,1,1
33,sziget,1,15:10:00,15:10:00,,0,0,1,1,1
33,sztendre,2,15:12:30,15:12:30,,0,0,1,1,1
34,sztendre,1,15:15:00,15:15:00,,0,0,1,1,1
34,sziget,2,15:17:30,15:17:30,,0,0,1,1,1
35,sziget,1,15:30:00,15:30:00,,0,0,1,1,1
35,sztendre,2,15:32:30,15:32:30,,0,0,1,1,1
36,sztendre,1,15:35:00,15:35:00,,0,0,1,1,1
36,sziget,2,15:37:30,15:37:30,,0,0,1,1,1
37,sziget,1,16:10:00,16:10:00,,0,0,1,1,1
37,sztendre,2,16:12:30,16:12:30,,0,0,1,1,1
38,sztendre,1,16:15:00,16:15:00,,0,0,1,1,1
38,sziget,2,16:17:30,16:17:30,,0,0,1,1,1
39,sziget,1,16:30:00,16:30:00,,0,0,1,1,1
39,sztendre,2,16:32:30,16:32:30,,0,0,1,1,1
40,sztendre,1,16:35:00,16:35:00,,0,0,1,1,1
40,sziget,2,16:37:30,16:37:30,,0,0,1,1,1
41,sziget,1,17:10:00,17:10:00,,0,0,1,1,1
41,sztendre,2,17:12:30,17:12:30,,0,0,1,1,1
42,sztendre,1,17:15:00,17:15:00,,0,0,1,1,1
42,sziget,2,17:17:30,17:17:30,,0,0,1,1,1
43,sziget,1,17:30:00,17:30:00,,0,0,1,1,1
43,sztendre,2,17:32:30,17:32:30,,0,0,1,1,1
44,sztendre,1,17:35:00,17:35:00,,0,0,1,1,1
44,sziget,2,17:37:30,17:37:30,,0,0,1,1,1
45,sziget,1,18:10:00,18:10:00,,0,0,1,1,1
45,sztendre,2,18:12:30,18:12:30,,0,0,1,1,1
46,sztendre,1,18:15:00,18:15:00,,0,0,1,1,1
46,sziget,2,18:17:30,18:17:30,,0,0,1,1,1
