trip_id,route_id,shape_id,service_id,trip_headsign,direction_id,trip_short_name,block_id,wheelchair_accessible,bikes_allowed,cars_allowed
1,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
2,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
3,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
4,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
5,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
6,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
7,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
8,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
9,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
10,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
11,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
12,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
13,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
14,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
15,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
16,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
17,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
18,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
19,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
20,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
21,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
22,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
23,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
24,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
25,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
26,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
27,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
28,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
29,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
30,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
31,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
32,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
33,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
34,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
35,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
36,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
37,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
38,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
39,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
40,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
41,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
42,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
43,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
44,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
45,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
46,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
47,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
48,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
49,ferry,sztendre,weekday,Szentendre,1,,,2,1,2
50,ferry,sziget,weekday,Szigetmonostor,0,,,2,1,2
51,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
52,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
53,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
54,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
55,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
56,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
57,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
58,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
59,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
60,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
61,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
62,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
63,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
64,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
65,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
66,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
67,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
68,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
69,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
70,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
71,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
72,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
73,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
74,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
75,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
76,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
77,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
78,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
79,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
80,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
81,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
82,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
83,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
84,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
85,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
86,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
87,ferry,sztendre,weekend,Szentendre,1,,,2,1,2
88,ferry,sziget,weekend,Szigetmonostor,0,,,2,1,2
89,ferry,sztendre,late_on_request_01,Szentendre,1,,,2,1,2
90,ferry,sziget,late_on_request_01,Szigetmonostor,0,,,2,1,2
91,ferry,sztendre,late_regular,Szentendre,1,,,2,1,2
92,ferry,sziget,late_regular,Szigetmonostor,0,,,2,1,2
93,ferry,sztendre,late_on_request_02,Szentendre,1,,,2,1,2
94,ferry,sziget,late_on_request_02,Szigetmonostor,0,,,2,1,2
