shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
C1995,47.5846,19.04412,1
C1995,47.58456,19.0441,2
C1995,47.58454,19.04408,3
C1995,47.58452,19.04406,4
C1995,47.58452,19.04406,5
C1995,47.58452,19.04406,6
C1995,47.5845,19.044,7
C1995,47.58454,19.04387,8
C1995,47.58469,19.04331,9
C1995,47.58503,19.04216,10
C1995,47.58504,19.04211,11
C1995,47.58505,19.04207,12
C1995,47.58552,19.04228,13
C1995,47.58567,19.04235,14
C1995,47.58567,19.04235,15
C1995,47.586,19.0425,16
C1995,47.58616,19.04257,17
C1995,47.58625,19.04261,18
C1995,47.58652,19.04271,19
C1995,47.58656,19.04262,20
C1995,47.58659,19.04257,21
C1995,47.58669,19.04239,22
C1995,47.58678,19.04227,23
C1995,47.58687,19.04216,24
C1995,47.58702,19.042,25
C1995,47.58781,19.04137,26
C1995,47.58808,19.04115,27
C1995,47.58824,19.04098,28
C1995,47.5884,19.04072,29
C1995,47.58874,19.04017,30
C1995,47.58893,19.03989,31
C1995,47.58921,19.03947,32
C1995,47.58924,19.03942,33
C1995,47.58926,19.03935,34
C1995,47.58926,19.03929,35
C1995,47.58925,19.03922,36
C1995,47.58924,19.03917,37
C1995,47.58921,19.03912,38
C1995,47.58917,19.03905,39
C1995,47.58873,19.03846,40
C1995,47.58867,19.03837,41
C1995,47.58864,19.0383,42
C1995,47.5886,19.03822,43
C1995,47.58855,19.0381,44
C1995,47.58843,19.03773,45
C1995,47.58839,19.03758,46
C1995,47.58838,19.03753,47
C1995,47.58837,19.03748,48
C1995,47.58838,19.03739,49
C1995,47.58839,19.0372,50
C1995,47.58839,19.03698,51
C1995,47.58837,19.03683,52
C1995,47.58835,19.03669,53
C1995,47.58834,19.03664,54
C1995,47.58833,19.03657,55
C1995,47.58831,19.03641,56
C1995,47.58829,19.03629,57
C1995,47.58828,19.03618,58
C1995,47.58828,19.03602,59
C1995,47.58828,19.03588,60
C1995,47.58828,19.0357,61
C1995,47.58827,19.03542,62
C1995,47.58827,19.03535,63
C1995,47.58825,19.03522,64
C1995,47.58823,19.03513,65
C1995,47.58821,19.03503,66
C1995,47.58819,19.03486,67
C1995,47.58818,19.03479,68
C1995,47.58818,19.03471,69
C1995,47.5882,19.03452,70
C1995,47.58822,19.03437,71
C1995,47.58823,19.03426,72
C1995,47.58827,19.03413,73
C1995,47.5883,19.03409,74
C1995,47.58834,19.03405,75
C1995,47.58835,19.03387,76
C1995,47.58835,19.03384,77
C1995,47.58836,19.03364,78
C1995,47.58836,19.03351,79
C1995,47.58835,19.03341,80
C1995,47.58833,19.03333,81
C1995,47.5883,19.03326,82
C1995,47.58828,19.03323,83
C1995,47.58825,19.03319,84
C1995,47.58824,19.03317,85
C1995,47.58821,19.03314,86
C1995,47.58818,19.0331,87
C1995,47.58816,19.03305,88
C1995,47.58816,19.03299,89
C1995,47.58815,19.03293,90
C1995,47.58816,19.03284,91
C1995,47.58817,19.03274,92
C1995,47.58821,19.03266,93
C1995,47.58826,19.03257,94
C1995,47.58869,19.03199,95
C1995,47.58883,19.0318,96
C1995,47.58884,19.03174,97
C1995,47.58912,19.03042,98
C1995,47.5892,19.03047,99
C1995,47.5892,19.03047,100
C1995,47.58967,19.03076,101
C1995,47.59047,19.03124,102
C1995,47.59051,19.03111,103
