trip_id,route_id,shape_id,service_id,trip_headsign,direction_id,trip_short_name,block_id,wheelchair_accessible,bikes_allowed
1995,1,C1995,1,,0,,1,2,2
1996,1,C1996,1,,1,,1,2,2
1997,2,C1997,1,,0,,1,2,2
1998,2,C1998,1,,1,,1,2,2
1999,2,C1997,1,,0,,1,2,2
2000,2,C1998,1,,1,,1,2,2
2001,1,C1995,1,,0,,1,2,2
2002,1,C1995,1,,0,,1,2,2
2003,1,C1995,1,,0,,1,2,2
2004,1,C1995,1,,0,,1,2,2
2005,1,C1995,1,,0,,1,2,2
2006,1,C1995,1,,0,,1,2,2
2007,1,C1995,1,,0,,1,2,2
2008,1,C1995,1,,0,,1,2,2
2009,1,C1995,1,,0,,1,2,2
2010,1,C1995,1,,0,,1,2,2
2011,1,C1995,1,,0,,1,2,2
2012,1,C1996,1,,1,,1,2,2
2013,1,C1996,1,,1,,1,2,2
2014,1,C1996,1,,1,,1,2,2
2015,1,C1996,1,,1,,1,2,2
2016,1,C1996,1,,1,,1,2,2
2017,1,C1996,1,,1,,1,2,2
2018,1,C1996,1,,1,,1,2,2
2019,1,C1996,1,,1,,1,2,2
2020,1,C1996,1,,1,,1,2,2
2021,1,C1996,1,,1,,1,2,2
2022,1,C1996,1,,1,,1,2,2
